"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"八","86","",""
"八","8","",""
"八拜之交","8,yy","",""
"八寶飯","87o","",""
"八寶粥","87n","",""
"八面玲瓏","8mmm","",""
"八面威風","8m`,","",""
"八面威風","8m`-","",""
"八方","8yn","",""
"八德","8,p","",""
"八年抗戰","8,qr","",""
"八哥","8mb","",""
"八股文","8by","",""
"八卦","8gy","",""
"八卦","ogy","",""
"八家將","87'","",""
"八仙","8ou","",""
"八仙過海","8oze","",""
"八成","8`i","",""
"八字","87b","",""
"八二三炮戰","8mmf","",""
"八一七公報","8178","",""
"八一七公報","81j8","",""
"八一七公報","81m8","",""
"八一七公報","8m78","",""
"八一七公報","8mj8","",""
"八一七公報","8mm8","",""
"八佾舞","8o,","",""
"八音","8ya","",""
"扒","q8","",""
"叭","r8","",""
"巴","w'","",""
"巴","]'","",""
"巴巴","]']'","",""
"巴不得","wm,","",""
"巴不得","]m,","",""
"巴結","w'3r","",""
"巴結","]'3r","",""
"巴掌","w'tq","",""
"巴掌","]'tq","",""
"巴士","w'g","",""
"巴士","]'g","",""
"巴望","w'yg","",""
"巴望","]'yg","",""
"吧","r'","",""
"吧檯","r'dg","",""
"芭","t'","",""
"芭樂","t'3d","",""
"芭蕾舞","tt,","",""
"芭蕉","t'tf","",""
"疤","y'","",""
"疤","`'","",""
"疤痕","y'y[","",""
"疤痕","y'`[","",""
"疤痕","`'y[","",""
"疤痕","`'`[","",""
"粑","t'","",""
"粑","t'x","",""
"笆","h'","",""
"峇","ur","",""
"峇","urx","",""
"捌","87","",""
"捌","qb","",""
"拔","qx","",""
"拔得頭籌","q,mh","",""
"拔刀相助","qmd7","",""
"拔刀相助","qmdb","",""
"拔刀相助","qnd7","",""
"拔刀相助","qndb","",""
"拔掉","qxqj","",""
"拔腿","qxb[","",""
"拔腿就跑","qbyr","",""
"拔河","qxeb","",""
"拔尖","qx,k","",""
"拔起","qxg'","",""
"拔取","qx9x","",""
"拔擢","qxq0","",""
"拔除","qx9d","",""
"拔牙","qxmb","",""
"跋","rx","",""
"跋扈","rxs'","",""
"跋涉","rxe,","",""
"跋山涉水","ruee","",""
"鈸","cx","",""
"把","q'","",""
"把柄","q'db","",""
"把脈","q'b[","",""
"把門","q'a","",""
"把風","q','","",""
"把風","q'-'","",""
"把風","q'-l","",""
"把關","q'a1","",""
"把戲","q'yi","",""
"把戲","q'`i","",""
"把盞","q'im","",""
"把持","q'q;","",""
"把式","q'im","",""
"把式","q'mi","",""
"把手","q'q","",""
"把守","q'7;","",""
"把握","q'qg","",""
"把玩","q'm-","",""
"靶","t'","",""
"靶心","t'p","",""
"靶場","t'gn","",""
"靶子","t'.b","",""
"把","q'","",""
"爸","8'","",""
"爸爸","8'8'","",""
"伯","oa","",""
"罷","w'","",""
"罷免","w','","",""
"罷免","w',-","",""
"罷免權","w,d","",""
"罷了","w'.b","",""
"罷工","w'mm","",""
"罷課","w'4d","",""
"罷休","w'od","",""
"罷黜","w'wu","",""
"罷駛","w'mx","",""
"罷市","w'y1","",""
"罷手","w'q","",""
"霸","6b","",""
"霸道","6bzw","",""
"霸權","6bd0","",""
"霸占","6byr","",""
"霸主","6byg","",""
"霸業","6btd","",""
"霸王","6bmg","",""
"壩","gb","",""
"吧","r'","",""
"罷","w'","",""
"波","ex","",""
"波霸","ex6b","",""
"波動","ex,n","",""
"波濤","exe;","",""
"波濤洶湧","eeee","",""
"波瀾","exea","",""
"波瀾","exed","",""
"波瀾壯闊","ee'a","",""
"波浪","exe[","",""
"波羅","exw0","",""
"波羅蜜","ew7","",""
"波光","ext-","",""
"波光蕩漾","ette","",""
"波光粼粼","ettt","",""
"波及","ex.x","",""
"波折","exq1","",""
"波長","exm[","",""
"波紋","ex3x","",""
"玻","mx","",""
"玻璃","mx","",""
"玻璃","mxmb","",""
"玻璃纖維","mm33","",""
"玻璃紙","mm3","",""
"玻璃絲襪","mm3y","",""
"玻璃帷幕","mm1t","",""
"玻璃帷幕","mmbt","",""
"菠","tx","",""
"菠菜","txtd","",""
"砵","mdx","",""
"砵酒","mxew","",""
"缽",",d","",""
"缽",",m","",""
"般",",x","",""
"般若",",xtr","",""
"剝",",b","",""
"剝皮",",b.x","",""
"剝皮",",b`x","",""
"剝皮",",e.x","",""
"剝皮",",e.`","",""
"剝奪",",bk;","",""
"剝落",",btr","",""
"剝削",",btb","",""
"餑","obx","",""
"餑餑","oxox","",""
"撥","qx","",""
"撥發","qx.x","",""
"撥付","qxo;","",""
"撥動","qx,n","",""
"撥弄","qxmt","",""
"撥亂反正","q,,m","",""
"撥亂反正","q,`m","",""
"撥開","qxat","",""
"撥款","qxgo","",""
"撥交","qxyx","",""
"撥出","qxuu","",""
"撥冗","qx7-","",""
"撥雲見日","q6wa","",""
"撥用","qxb1","",""
"撥用","qxbj","",""
"百","-6","",""
"百","ma","",""
"伯","oa","",""
"伯伯","oaoa","",""
"伯母","oa=y","",""
"伯父","oa8x","",""
"伯樂","oa3d","",""
"伯勞","oafn","",""
"伯仲","oaol","",""
"伯仲之間","ooya","",""
"泊","ea","",""
"泊車","ea22","",""
"泊船","ea,r","",""
"帛",",1","",""
"帛書",",11a","",""
"帛書",",1]a","",""
"柏","da","",""
"柏金森氏病","dcd,","",""
"柏樹","dad;","",""
"柏油","daew","",""
"舶",",a","",""
"舶來品",",a","",""
"舶來品",",dr","",""
"舶來品",",jr","",""
"舶來品",",mr","",""
"鉑","ca","",""
"箔","ha","",""
"勃","jn","",""
"勃勃","jnjn","",""
"勃發","jn.x","",""
"勃起","jng'","",""
"勃谿","jn,r","",""
"勃興","jn,8","",""
"勃然","jn,f","",""
"悖","pb","",""
"脖","bb","",""
"脖子","bb.b","",""
"渤","en","",""
"博","j;","",""
"博大精深","jkte","",""
"博得","j;,;","",""
"博覽","j;[-","",""
"博覽會","j[o","",""
"博古通今","jjzo","",""
"博取","j;9x","",""
"博學","j;,b","",""
"博施濟眾","jye,","",""
"博施濟眾","jyew","",""
"博士","j;g","",""
"博士學位","jg,o","",""
"博愛","j;,x","",""
"博雅","j;m0","",""
"博物","j;,n","",""
"博物館","j,o","",""
"博聞強記","jan4","",""
"搏","q;","",""
"搏命","q;o9","",""
"搏鬥","q;1b","",""
