
!	！
#	＃
$	＄
&	＆
'	是
''	比
''	艷
''2x	比較
''x	毞
''x	鬯
',	匕
'-	兇
'-	兕
'0	鴇
'0x	鴇
'0x	鶛
'1	斷
'1	幽
'1	鼎
'1	凶
'1	豳
'1x	凵
'1x	屮
'1x	爿
'1x	丱
'1x	斨
'3	縣
'33	豐濱鄉
'5	頃
'5	穎
'5	潁
'5x	貰
'5x	潁
'5x	熲
'5x	顈
'73	將軍鄉
'9x	酆
';	將
'[	裝
'[x	袃
'`y	豐原市
'a	皆
'a	旨
'bx	牁
'bx	觺
'd	槳
'dx	粊
'e	漿
'fx	焋
'g	壯
'gx	坒
'gx	墏
'i	戕
'i	臧
'j	肄
'jx	丮
'jx	牂
'k	獎
'k	狀
'k	奘
'kx	奊
'l	蝨
'lx	螿
'm	豔
'nx	勓
'nx	勩
'nx	駂
'o	疑
'p	懸
'px	毖
'rx	牄
't	世
't	豐
'tx	豊
'v	妝
'w	牆
'w	醬
'w3	壯圍鄉
'x	收
(	（
()	（  ）
)	）
*	＊
*	*
*	☆
*	★
*	✽
*	※
*	○
*	●
*	◎
*	⊙
+	＋
+	－
+	×
+	÷
+	±
,	，
,'	包
,'	免
,'	毛
,'	色
,'	鳳
,'	凰
,'	風
,'	氣
,'	氛
,'	氫
,'	氧
,'	兆
,'	危
,'	毓
,'	鮑
,'	凡
,'	亂
,'	鼠
,'	龜
,'	牠
,'	爬
,'	片
,'	乞
,'	犯
,'	魏
,'	鬼
,'	皂
,'	乖
,'	乳
,'	舵
,'	魁
,'	魄
,'	獵
,'	几
,'	夙
,'	卮
,'	牝
,'	胤
,'	氟
,'	氯
,'	氨
,'	氰
,'	氮
,'	氦
,'	氖
,'	氬
,'	氪
,'	氙
,'	氡
,'	氕
,'	氘
,'	氚
,'	氤
,'	氳
,'	邕
,'	魷
,'	毽
,'	鯤
,'	䠷
,'x	乇
,'x	气
,'x	夗
,'x	犰
,'x	犵
,'x	癿
,'x	狔
,'x	秅
,'x	狫
,'x	秕
,'x	秏
,'x	屔
,'x	瓟
,'x	秫
,'x	秜
,'x	舥
,'x	乿
,'x	猑
,'x	皉
,'x	秺
,'x	彘
,'x	毳
,'x	犈
,'x	瓾
,'x	艉
,'x	觤
,'x	甀
,'x	甂
,'x	甃
,'x	颮
,'x	馜
,'x	魠
,'x	甈
,'x	魨
,'x	魤
,'x	臲
,'x	郺
,'x	鮀
,'x	鼽
,'x	甒
,'x	貔
,'x	馣
,'x	鮠
,'x	麉
,'x	甔
,'x	鮿
,'x	徿
,'x	犤
,'x	犣
,'x	鯤
,'x	齀
,'x	矲
,'x	鱦
,'x	齆
,'x	鱺
,,	多
,,	少
,,	彩
,,	移
,,	秒
,,	穆
,,	乒
,,	穋
,,	氕
,,,,	多少
,,3	復興鄉
,,dg	啟德機場
,,x	氕
,,x	猀
,,x	牻
,,x	颩
,,x	魦
,,x	穇
,,x	鮅
,-	先
,-	兒
,-	免
,-	航
,-	稅
,-	貌
,-	毓
,-	覓
,-	覺
,-	禿
,-	兔
,-	兜
,-	皖
,-	覜
,-	魷
,-	毚
,-	氪
,-	䠷
,-,g	先生
,-x	狁
,-x	犺
,-x	狣
,-x	毨
,-x	氪
,-x	猇
,-x	猊
,-x	兟
,-x	猦
,-x	覛
,-x	觥
,-x	獍
,-x	穊
,-x	覝
,-x	獟
,-x	皝
,-x	虢
,-x	覣
,-x	觬
,-x	魧
,-x	穘
,-x	鮡
,-x	艞
,-x	虩
,-x	鯇
,-x	鮵
,-x	鮸
,-x	覶
,-x	颻
,-x	鯢
,-x	艬
,-x	鱙
,-x	鼶
,.	久
,.	爪
,.	瓜
,.	乏
,.	秉
,.	乘
,.	象
,.	狐
,.	眾
,.	稼
,.x	尐
,.x	彖
,.x	猭
,.x	觚
,.x	穟
,.x	艨
,.x	鱁
,.x	鱌
,/	私
,/	魏
,/	鬼
,/	么
,/	丟
,/	魄
,/x	彸
,/x	魼
,0	稚
,0	雞
,0	鵝
,0	罐
,0	雛
,0	鴛
,0	雀
,0	雉
,0	雊
,0	雒
,0	鵠
,0	鷂
,0	玀
,0x	鴔
,0x	鴩
,0x	鴝
,0x	鴙
,0x	鴟
,0x	鴸
,0x	鴰
,0x	鵅
,0x	鵃
,0x	鴭
,0x	雝
,0x	魋
,0x	鵖
,0x	鵟
,0x	鵚
,0x	鵴
,0x	鵵
,0x	鶅
,0x	鵳
,0x	鶂
,0x	鵯
,0x	鵹
,0x	鶢
,0x	鶨
,0x	鶞
,0x	鶣
,0x	鶖
,0x	獾
,0x	鶵
,0x	鷎
,0x	鶹
,0x	鷍
,0x	鷡
,0x	鷮
,0x	鷭
,0x	鷽
,0x	鸄
,0x	鸒
,0x	鸑
,0x	鱹
,1	川
,1	片
,1	斤
,1	師
,1	帥
,1	稀
,1	歸
,1	卵
,1	州
,1	乖
,1	帛
,1	彿
,1	狎
,1	氟
,1	獅
,1	氘
,1	氚
