¶r¿Wß«∏π,¶r,≥°≠∫,µßµe,•X≤{¿W¶∏,≤÷øn¿W¶∏,≤÷øn¶ §¿§Ò
1,™∫,•’,08,39632,39632,3.94012662
2,§@,§@,01,12955,52587,5.22808434
3,¨O,§È,09,11865,64452,6.40767665
4,§£,§@,04,9889,74341,7.39081936
5,¶≥,§Î,06,9414,83755,8.32673862
6,¶b,§g,06,9364,93119,9.25768699
7,§H,§H,02,8004,101123,10.05342713
8,•H,§H,05,6442,107565,10.69387666
9,¨∞,§ı,09,5914,113479,11.28183358
10,§§,°U,04,5884,119363,11.86680797
11,§j,§j,03,5854,125217,12.44879983
12,∑|,§Í,13,5239,130456,12.96964973
13,§W,§@,03,5110,135566,13.47767474
14,§F,∆¡,02,5057,140623,13.98043060
15,•i,§f,05,4835,145458,14.46111571
16,≥o,∆÷,11,4775,150233,14.93583575
17,Æ…,§È,10,4729,154962,15.40598257
18,®”,§H,08,4565,159527,15.85982487
19,¶~,§z,06,4541,164068,16.31128114
20,≠”,§H,10,4541,168609,16.76273741
21,•L,§H,05,4490,173099,17.20912337
22,•X,…B,05,4269,177368,17.63353800
23,®Ï,§M,08,4229,181597,18.05397592
24,∞Í,…I,11,4222,185819,18.47371791
25,ß⁄,§‡,07,4120,189939,18.88331928
26,§],§A,03,4114,194053,19.29232415
27,≠n, P,09,3982,198035,19.68820587
28,¶®,§‡,06,3755,201790,20.06151974
29,¶”,¶”,06,3743,205533,20.43364060
30,Ø‡,¶◊,10,3664,209197,20.79790745
31,¥N,§q,12,3337,212534,21.12966468
32,¶a,§g,06,3308,215842,21.45853880
33,πÔ,§o,14,3293,219135,21.78592164
34,´·,…L,09,3261,222396,22.11012312
35,©Û,§Ë,08,3217,225613,22.42995021
36,§ß,∆¿,04,3192,228805,22.74729186
37,¶h,§i,06,3141,231946,23.05956320
38,•Œ,•Œ,05,3139,235085,23.37163570
39,•Õ,•Õ,05,3134,238219,23.68321112
40,•x,§f,05,3117,241336,23.99309643
41,¶Ê,¶Ê,06,3003,244339,24.29164811
42,©M,§f,08,2917,247256,24.58164986
43,πL,∆÷,13,2871,250127,24.86707839
44,©“,§·,08,2864,252991,25.15181099
45,≠Ã,§H,10,2855,255846,25.43564884
46,ß@,§H,07,2849,258695,25.71889018
47,∑~,§Ï,13,2841,261536,26.00133618
48,§Ω,§K,04,2835,264371,26.28318566
49,¶],…I,06,2828,267199,26.56433923
50,¶€,¶€,06,2767,269966,26.83942831
51,±o,…L,11,2740,272706,27.11183311
52,ªP,¶›,14,2725,275431,27.38274664
53,§Q,§Q,02,2715,278146,27.65266599
54,Æa,∆À,10,2706,280852,27.92169058
55,µo,∆’,12,2695,283547,28.18962158
56,§U,§@,03,2688,286235,28.45685665
57,≤{,•…,11,2663,288898,28.72160627
58,¶p,§k,06,2637,291535,28.98377104
59,™Ã,¶—,08,2612,294147,29.24345035
60,´e,§M,09,2596,296743,29.50153899
61,≥£,®∂,11,2570,299313,29.75704276
62,∏g,¶Õ,13,2543,301856,30.00986225
63,§Ë,§Ë,04,2496,304352,30.25800910
64,§Œ,§S,04,2487,306839,30.50526119
65,≥Ã,∆√,12,2446,309285,30.74843715
66,•~,§i,05,2425,311710,30.98952534
67,±N,§o,11,2420,314130,31.23011644
68,™¯,™¯,08,2387,316517,31.46742675
69,∑Ì,•–,13,2380,318897,31.70404114
70,§¿,§M,04,2376,321273,31.94025785
71,∞™,∞™,10,2329,323602,32.17180193
72,∞ ,§O,11,2321,325923,32.40255066
73,•´,§y,05,2312,328235,32.63240464
74,¶˝,§H,07,2311,330546,32.86215920
75,ª°,®•,14,2294,332840,33.09022365
76,∑s,§Á,13,2234,335074,33.31232304
77,§ﬂ,§ﬂ,04,2229,337303,33.53392533
78,µM,§ı,12,2228,339531,33.75542821
79,™k,§Ù,08,2196,341727,33.97374972
80,®‰,§K,08,2174,343901,34.18988404
81,§l,§l,03,2173,346074,34.40591894
82,§O,§O,02,2158,348232,34.62046257
83,§—,§j,04,2151,350383,34.83431028
84,§È,§È,04,2142,352525,35.04726323
85,≥ı,§g,12,2138,354663,35.25981850
86,∂},™˘,12,2129,356792,35.47147902
87,™Ì,¶Á,08,2119,358911,35.68214536
88,¶P,§f,06,2111,361022,35.89201635
89,§T,§@,03,2109,363131,36.10168851
90,∏Í,®©,13,2107,365238,36.31116184
91,≤z,•…,11,2093,367331,36.51924331
92,¶π,§Ó,06,2085,369416,36.72652944
93,•D,∆ø,05,2063,371479,36.93162838
94,§p,§p,03,2054,373533,37.13583256
95,•ª,§Ï,05,2050,375583,37.33963907
96,®∆,∆¡,08,2043,377626,37.54274966
97,©w,∆À,08,2010,379636,37.74257945
98,¶n,§k,06,2008,381644,37.94221042
99,πq,´B,13,2007,383651,38.14174196
100,•[,§O,05,1967,385618,38.33729679
101,¨¸,¶œ,09,1929,387547,38.52907374
102,≠±,≠±,09,1914,389461,38.71935943
103,≥°,®∂,11,1902,391363,38.90845210
104,§G,§G,02,1899,393262,39.09724652
105,•¡,§Û,05,1884,395146,39.28454968
106,§u,§u,03,1883,397029,39.47175341
107,∂i,∆÷,12,1872,398901,39.65786355
108,•—,•–,05,1858,400759,39.84258184
109,æ˜,§Ï,16,1857,402616,40.02720071
110,≈È,∞©,23,1835,404451,40.20963239
111,´~,§f,09,1819,406270,40.39047339
112,© ,§ﬂ,08,1798,408068,40.56922661
113,∫ÿ,•›,14,1787,409855,40.74688623
114,µ•,¶À,12,1777,411632,40.92355168
115,®œ,§H,08,1775,413407,41.10001829
116,§∫,§J,04,1771,415178,41.27608723
117,≠´,®Ω,09,1754,416932,41.45046607
118,∂°,™˘,12,1733,418665,41.62275713
119,ßA,§H,07,1719,420384,41.79365635
120,¨€,•ÿ,09,1717,422101,41.96435673
121,™˜,™˜,08,1712,423813,42.13456002
122,≤£,•Õ,11,1707,425520,42.30426622
123,µL,§ı,12,1688,427208,42.47208348
124,§w,§v,03,1687,428895,42.63980132
125,•˛,§J,06,1686,430581,42.80741975
126,¶Ï,§H,07,1646,432227,42.97106146
127,µ€, J,12,1638,433865,43.13390784
128,æ«,§l,16,1631,435496,43.29605828
129,®√,§@,08,1626,437122,43.45771164
130,±°,§ﬂ,11,1617,438739,43.61847024
131,©Œ,§‡,08,1615,440354,43.77903000
132,§Î,§Î,04,1606,441960,43.93869500
133,®Æ,®Æ,07,1597,443557,44.09746524
134,¶X,§f,06,1595,445152,44.25603665
135,≠˚,§f,10,1594,446746,44.41450864
136,ºv,∆—,15,1593,448339,44.57288121
137,•h,∆…,05,1580,449919,44.72996135
138,§Ò,§Ò,04,1576,451495,44.88664381
139,™G,§Ï,08,1575,453070,45.04322686
140,•u,§f,05,1573,454643,45.19961108
141,πÍ,∆À,14,1567,456210,45.35539878
142,∑N,§ﬂ,13,1561,457771,45.51058999
143,¡Ÿ,∆÷,17,1557,459328,45.66538351
144,¨›,•ÿ,09,1550,460878,45.81948112
145,´◊,∆Œ,09,1540,462418,45.97258454
146,ßQ,§M,07,1528,463946,46.12449496
147,¨F,∆“,09,1521,465467,46.27570945
148,®«,§G,08,1519,466986,46.42672510
149,®‚,§J,08,1516,468502,46.57744250
150,∞_,®´,10,1505,470007,46.72706630
